analysis,best_model,n_patients,positive_pCR,negative_non_pCR,n_features,AUROC,AUPRC,Brier_score,interpretation
Phase 5A baseline biomarker model,LogisticRegression,33,20,13,,0.5461538461538461,0.7506391256164644,0.2661666100369056,Earlier internal baseline using proxy biomarker table.
Phase 8C FTV support-data model,SVM_RBF,13,7,6,28,0.6666666666666667,0.7527734170591311,0.2405088066605158,Support-data model using official MRI / FTV features.
