feature,importance_auroc_drop,permuted_auroc_std
visit_index,0.0,0.11999622065099194
ftv_volume,0.25297619047619047,0.10851469643510794
sphericity,-0.09345238095238084,0.10145448752297136
longest_diameter,-0.13214285714285712,0.11504583529049228
bpe_5slice_mean,0.04999999999999993,0.1223123765622983
has_volume,-0.02261904761904754,0.06184750098981208
has_sphericity,-0.029761904761904656,0.07216878364870322
has_longest_diameter,-0.03809523809523807,0.049601587276189685
has_bpe,0.015476190476190421,0.07114029127775554
