file_path,source,extension,size_mb,original_candidate_type,source_class,keyword_hits,read_status,has_patient_column,has_visit_column,has_tumor_feature_column,has_pe_ser_or_ftv_column,columns_or_keys_preview,first_row_or_doc_preview,priority_score_phase8b,manifest_decision
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/53_phase3d_records_per_patient.png,local_scan,.png,0.0482,other_support_candidate,ignore_generated_project_output,pe,not_opened,yes,no,no,yes,,,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/ispy2_patient_summary.csv,local_scan,.csv,0.0187,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,yes,patient_folder; n_studies; n_series; n_dicom; has_mr; has_seg,ISPY2-100899; 4; 64; 7322; 1; 1,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4a_label_source_inventory.csv,local_scan,.csv,0.0091,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,yes,file_path; file_name; size_mb; source_root; read_status; n_columns_read; matched_label_like_columns; all_columns_preview; label_signal_score,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3d_verified_biomarker_table.cs; phase3d_verified_biomarker_table.csv; 0.0497; /home/mdsubhan01/ISPY2-3DGCNN; read_csv; 25; patient_folder; study_folder; seg_series_uid; matched_mr_series_uid; biomarker_t; patient_folder; study_folder; seg_series_uid; matched_mr_series_uid; link_status; 13,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4b_model_predictions.csv,local_scan,.csv,0.007,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,no,model; patient_folder; true_label; predicted_probability; predicted_label,LogisticRegression; ISPY2-100899; 0; 0.4926998749905815; 0,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/figures/212_phase7e_model_performance.png,local_scan,.png,0.0584,other_support_candidate,ignore_generated_project_output,pe,not_opened,yes,no,no,yes,,,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_oof_predictions.csv,local_scan,.csv,0.0068,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,no,model; patient_folder; true_label; predicted_probability; predicted_label,LogisticRegression; ISPY2-100899; 0; 0.49269987499058127; 0,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4e_downloaded_label_candidates.csv,local_scan,.csv,0.0057,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,no,file_path; read_status; patient_col; patient_overlap; label_col; usable_labels; positive; negative,/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ACRIN-6698-ISPY2-S; read_ok_no_label_col; DICOM Tag; 0; ; 0; 0; 0,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4b_label_merge_candidates.csv,local_scan,.csv,0.0022,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,no,file_path; patient_column; patient_overlap; label_column; usable_labeled_patients; n_positive; n_negative; status,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3d_verified_biomarker_table.cs; patient_folder; 35; ; 0; 0; 0; no_patient_or_label_column,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4c_label_candidate_review.csv,local_scan,.csv,0.0022,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,no,file_path; patient_column; patient_overlap; label_column; usable_labeled_patients; n_positive; n_negative; status,/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase3d_verified_biomarker_table.cs; patient_folder; 35; ; 0; 0; 0; no_patient_or_label_column,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4a_feature_completeness.csv,local_scan,.csv,0.0011,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,no,feature; non_missing; missing; missing_pct; mean; std; min; max,nonzero_seg_frames; 120; 0; 0.0; 114.1; 41.17015; 64.0; 180.0,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_model_calibration_metrics.csv,local_scan,.csv,0.001,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,yes,model; n_patients; positive_labels; negative_labels; n_splits; AUROC; AUPRC; Brier_score; calibration_MAE; accuracy; balanced_accuracy; F1; sensitivity; specificity; TP; TN; FP; FN,LogisticRegression; 33; 20; 13; 5; 0.5461538461538461; 0.7506391256164644; 0.26616661003690567; 0.2530816452458385; 0.45454545454545453; 0.4557692307692308; 0.5; 0.45; 0.46153846153846156; 9; 6; 7; 11,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/table_views/phase4b_model_performance.md,local_scan,.md,0.001,other_support_candidate,ignore_generated_project_output,pe,not_opened,yes,no,no,yes,,,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/Phase4D_Label_Source_Deep_Inspection_Summary.md,local_scan,.md,0.0009,other_support_candidate,ignore_generated_project_output,pe,not_opened,yes,no,no,yes,,,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5b_limitations_and_next_steps.csv,local_scan,.csv,0.0009,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,yes,issue; current_state; risk; next_step,Small labeled cohort; Only 33 labeled patients were used.; Model performance may be unstable.; Expand geometry-ready feature extraction to more patients.,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/unified_model_heads_for_atlas.csv,local_scan,.csv,0.0008,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,yes,yes,yes,model_head; input; output; role; why,"Radiomics + XGBoost; tumor volume, shape, radial profile, vessel density, visit deltas; pCR or early response probability; primary interpretable prediction model; best first model for structured atlas biomarkers",-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/github_table_view_index.csv,local_scan,.csv,0.0006,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,no,table; exists; rows; columns; view_file,ispy2_patient_summary.csv; yes; 719; 6; reports/table_views/ispy2_patient_summary.md,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5b_key_results_summary.csv,local_scan,.csv,0.0006,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,no,no,section; item; value; interpretation,Cohort; Labeled patients; 33; Small pilot cohort for feasibility analysis.,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_model_recommendation.csv,local_scan,.csv,0.0004,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,no,recommended_model; selection_rule; AUROC; AUPRC; Brier_score; why; xgboost_available,"LogisticRegression; highest AUROC, then highest AUPRC, then lowest Brier score; 0.5461538461538461; 0.7506391256164644; 0.26616661003690567; This is a pilot model. It gives the best cross-validated discrimination among th; not_available",-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase7f_expanded_recovered_cohort_summary.csv,local_scan,.csv,0.0004,other_support_candidate,ignore_generated_project_output,,read_table_ok,yes,no,yes,no,stage; metric; value,Phase 7C; SEG cases tested; 2688,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/logs/large_file_check.txt,local_scan,.txt,0.0,other_support_candidate,ignore_generated_project_output,,read_table_failed,yes,no,no,no,,,-1000.0,exclude_generated_output
/home/mdsubhan01/ISPY2-3DGCNN/reports/logs/phase2_large_file_check.txt,local_scan,.txt,0.0,other_support_candidate,ignore_generated_project_output,,read_table_failed,yes,no,no,no,,,-1000.0,exclude_generated_output
