model,n_patients,positive_pCR,negative_non_pCR,n_features,n_splits,AUROC,AUPRC,Brier_score,accuracy,balanced_accuracy,F1,sensitivity,specificity,TP,TN,FP,FN
RandomForest,13,7,6,10,5,0.5714285714285714,0.6059523809523809,0.2724052884615385,0.5384615384615384,0.5238095238095238,0.625,0.7142857142857143,0.3333333333333333,5,2,4,2
GradientBoosting,13,7,6,10,5,0.47619047619047616,0.5342102342102342,0.4794439731922544,0.5384615384615384,0.5238095238095238,0.625,0.7142857142857143,0.3333333333333333,5,2,4,2
LogisticRegression,13,7,6,10,5,0.3571428571428571,0.504051504051504,0.4323146581425297,0.38461538461538464,0.39285714285714285,0.3333333333333333,0.2857142857142857,0.5,2,3,3,5
SVM_RBF,13,7,6,10,5,0.3571428571428571,0.47797440654583506,0.3215197128760423,0.38461538461538464,0.38095238095238093,0.42857142857142855,0.42857142857142855,0.3333333333333333,3,2,4,4
