model,n_patients,positive_pCR,negative_non_pCR,n_features,n_splits,AUROC,AUPRC,Brier_score,accuracy,balanced_accuracy,F1,sensitivity,specificity,TP,TN,FP,FN
SVM_RBF,13,7,6,28,5,0.6666666666666667,0.7527734170591311,0.24050880666051583,0.6153846153846154,0.5952380952380952,0.7058823529411765,0.8571428571428571,0.3333333333333333,6,2,4,1
GradientBoosting,13,7,6,28,5,0.5357142857142857,0.5796964939822082,0.3335376540580882,0.6923076923076923,0.6904761904761905,0.7142857142857143,0.7142857142857143,0.6666666666666666,5,4,2,2
RandomForest,13,7,6,28,5,0.5,0.5568859711716854,0.2677201923076923,0.6153846153846154,0.6071428571428572,0.6666666666666666,0.7142857142857143,0.5,5,3,3,2
LogisticRegression,13,7,6,28,5,0.49999999999999994,0.5803030303030303,0.41734128348598676,0.46153846153846156,0.47619047619047616,0.36363636363636365,0.2857142857142857,0.6666666666666666,2,4,2,5
