model,n_patients,n_splits,AUROC,AUPRC,accuracy,balanced_accuracy,F1,sensitivity,specificity
LogisticRegression,33,5,0.5461538461538461,0.7506391256164644,0.45454545454545453,0.4557692307692308,0.5,0.45,0.46153846153846156
SVM_RBF,33,5,0.4653846153846154,0.6201334322932774,0.5151515151515151,0.43846153846153846,0.6666666666666666,0.8,0.07692307692307693
KNN,33,5,0.4365384615384615,0.5784429112554113,0.45454545454545453,0.4423076923076923,0.5263157894736842,0.5,0.38461538461538464
RandomForest,33,5,0.5057692307692307,0.622801689051689,0.48484848484848486,0.4403846153846154,0.6046511627906976,0.65,0.23076923076923078
GradientBoosting,33,5,0.47307692307692306,0.5999450706889162,0.5757575757575758,0.5423076923076923,0.6666666666666666,0.7,0.38461538461538464
