model,n_patients,positive_labels,negative_labels,n_splits,AUROC,AUPRC,Brier_score,calibration_MAE,accuracy,balanced_accuracy,F1,sensitivity,specificity,TP,TN,FP,FN
LogisticRegression,33,20,13,5,0.5461538461538461,0.7506391256164644,0.26616661003690567,0.2530816452458385,0.45454545454545453,0.4557692307692308,0.5,0.45,0.46153846153846156,9,6,7,11
RandomForest,33,20,13,5,0.5,0.624412271451745,0.2705812121212121,0.1815875,0.48484848484848486,0.4403846153846154,0.6046511627906976,0.65,0.23076923076923078,13,3,10,7
GradientBoosting,33,20,13,5,0.47307692307692306,0.5999450706889162,0.40080164235161725,0.40038074043430166,0.5757575757575758,0.5423076923076923,0.6666666666666666,0.7,0.38461538461538464,14,5,8,6
SVM_RBF,33,20,13,5,0.4461538461538462,0.613794887183763,0.2679156267713166,0.15102664958788306,0.48484848484848486,0.41346153846153844,0.6382978723404256,0.75,0.07692307692307693,15,1,12,5
KNN,33,20,13,5,0.4365384615384615,0.5784429112554113,0.28848484848484846,0.18770562770562763,0.45454545454545453,0.4423076923076923,0.5263157894736842,0.5,0.38461538461538464,10,5,8,10
