source_url,html_read,candidate_links_found
https://www.cancerimagingarchive.net/collection/ispy2/,yes,20
https://wiki.cancerimagingarchive.net/pages/viewpage.action?pageId=70230072,yes,16
https://portal.imaging.datacommons.cancer.gov/collections/ispy2/,yes,0
