file_path,source,extension,size_mb,candidate_type,keyword_hits,read_status,columns_or_keys_preview,first_row_preview,priority_score
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4d_label_candidate_deep_inspection.csv,local_scan,.csv,0.0132,other_support_candidate,pe,read_ok,candidate_rank;file_path;file_exists;patient_column_from_phase4;label_column_from_phase4;patient_overlap_from_phase4;usable_labeled_patients_from_phase4;n_positive_from_phase4;n_negative_from_phase4;status_from_phase4;read_status;n_rows;n_columns;label_like_columns_found;all_columns_preview;label_value_preview,"1;/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase;True;patient_folder;;35;0;0;0;no_patient_or_label_column;read_ok;120;25;biomarker_tier; nonzero_seg_frames; volume_proxy_m;patient_folder; study_folder; seg_series_uid; matc;biomarker_tier => z_verified_shape_warning:61, str",11
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4a_unsupervised_pca_clusters.csv,local_scan,.csv,0.0062,other_support_candidate,pe,read_ok,patient_folder;PC1;PC2;cluster,ISPY2-100899;-1.8767351417212652;-1.540913382074369;0,11
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4b_model_performance.csv,local_scan,.csv,0.0007,other_support_candidate,pe,read_ok,model;n_patients;n_splits;AUROC;AUPRC;accuracy;balanced_accuracy;F1;sensitivity;specificity,LogisticRegression;33;5;0.5461538461538461;0.7506391256164644;0.45454545454545453;0.4557692307692308;0.5;0.45;0.46153846153846156,11
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN-6698-ISPY2-DWI-and-DCE-MRI-Data-Descrip_dce2101e85.pdf,downloaded_or_extracted_support,.pdf,0.2613,DWI_ADC_candidate,dwi,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ACRIN_6698_ISPY2_DWI_and_DCE_MRI_Data_Descrip_5a4fe257bc.pdf,downloaded_or_extracted_support,.pdf,0.2613,DWI_ADC_candidate,dwi,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ACRIN_6698_ISPY2_DWI_and_DCE_MRI_Data_De_5a4fe257bc13.dat,local_scan,.dat,0.2613,DWI_ADC_candidate,dwi,not_opened,,,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2-Imaging-Cohort-1-Clinical-Data_b4908b4d4d.xlsx,downloaded_or_extracted_support,.xlsx,0.0555,clinical_label_candidate,,read_ok,Patient_ID;Arm;HR;HER2;MP;pCR;Age_at_Screening;Race;menopausal_status;ethnicity,756412;Paclitaxel + ABT 888 + Carboplatin;1;0;0;0;46;White;Premenopausal(< 6 months since LMP AND no prior bi;Not Hispanic or Latino,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_support_sources/ISPY2_Imaging_Cohort_1_Clinical_Data_0f12ce3674.xlsx,downloaded_or_extracted_support,.xlsx,0.0555,clinical_label_candidate,,read_ok,Patient_ID;Arm;HR;HER2;MP;pCR;Age_at_Screening;Race;menopausal_status;ethnicity,756412;Paclitaxel + ABT 888 + Carboplatin;1;0;0;0;46;White;Premenopausal(< 6 months since LMP AND no prior bi;Not Hispanic or Latino,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ISPY2_Imaging_Cohort_1_Clinical_Data_0f12ce36747e.xlsx,local_scan,.xlsx,0.0555,clinical_label_candidate,,read_ok,Patient_ID;Arm;HR;HER2;MP;pCR;Age_at_Screening;Race;menopausal_status;ethnicity,756412;Paclitaxel + ABT 888 + Carboplatin;1;0;0;0;46;White;Premenopausal(< 6 months since LMP AND no prior bi;Not Hispanic or Latino,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ISPY2-Imaging-Cohort-1-Clinical-Data_b4908b4d4dab.xlsx,local_scan,.xlsx,0.0555,clinical_label_candidate,,read_ok,Patient_ID;Arm;HR;HER2;MP;pCR;Age_at_Screening;Race;menopausal_status;ethnicity,756412;Paclitaxel + ABT 888 + Carboplatin;1;0;0;0;46;White;Premenopausal(< 6 months since LMP AND no prior bi;Not Hispanic or Latino,6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ACRIN_6698_ISPY2_Shared_Private_Tag_Data_910ee20fe104.xlsx,local_scan,.xlsx,0.0188,clinical_label_candidate,,read_ok,DICOM Tag;Name;Description;VR (VM) *; ,"(0113,""MI GE GNC ID STRING"",01);mrsc_imageGnc_dwiVersion;mrsc_imageGnc_dwiVersion;IS;",6
/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clinical_support/ACRIN-6698-ISPY2-Shared-Private-Tag-Data_93d5b05fac29.xlsx,local_scan,.xlsx,0.0188,clinical_label_candidate,,read_ok,DICOM Tag;Name;Description;VR (VM) *; ,"(0113,""MI GE GNC ID STRING"",01);mrsc_imageGnc_dwiVersion;mrsc_imageGnc_dwiVersion;IS;",6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4e_clinical_download_log.csv,local_scan,.csv,0.0062,clinical_label_candidate,,read_ok,url;local_file;status,https://wiki.cancerimagingarchive.net/display/NBIA;/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clini;downloaded,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4e_auto_pcr_label_mapping.csv,local_scan,.csv,0.0043,clinical_label_candidate,,read_ok,patient_folder;pCR_label;label_source_file;label_source_column,ISPY2-111881;1;/home/mdsubhan01/ISPY2-3DGCNN/external/ispy2_clini;HR,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase5a_feature_importance.csv,local_scan,.csv,0.0019,clinical_label_candidate,,read_ok,feature;permutation_importance_mean;permutation_importance_std;mean_pCR_positive;mean_pCR_negative;mean_difference_positive_minus_negative,shape_match_fraction;0.07025641025641023;0.06611159453742887;0.4;0.3076923076923077;0.09230769230769231,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/phase4e_clinical_page_scan.csv,local_scan,.csv,0.0002,clinical_label_candidate,,read_ok,source_url;html_read;candidate_links_found,https://www.cancerimagingarchive.net/collection/is;yes;6,6
/home/mdsubhan01/ISPY2-3DGCNN/reports/tables/seg_mr_link_table.csv,local_scan,.csv,3.3247,other_support_candidate,,read_ok,patient_folder;study_folder;seg_series_path;seg_first_dcm;seg_series_uid;seg_study_uid;seg_frame_of_reference_uid;seg_rows;seg_columns;seg_number_of_frames;segment_labels;referenced_series_uids;link_status;link_confidence;matched_mr_series_uid;matched_mr_study_uid;matched_mr_series_path;matched_mr_first_dcm;matched_mr_series_description;matched_mr_protocol_name;matched_mr_dcm_count,ISPY2-100899;1.3.6.1.4.1.14519.5.2.1.19140731108220017646017623;/home/mdsubhan01/ispy2/ispy2/ISPY2-100899/1.3.6.1.;/home/mdsubhan01/ispy2/ispy2/ISPY2-100899/1.3.6.1.;1.3.6.1.4.1.14519.5.2.1.17067099251972717303844787;1.3.6.1.4.1.14519.5.2.1.19140731108220017646017623;1.3.6.1.4.1.14519.5.2.1.21262370921863660205207467;256;256;80;1:VOLSER Analysis Mask:SEMIAUTOMATIC;;same_patient_same_study_best_mr;medium;1.3.6.1.4.1.14519.5.2.1.12189572549353642826766136;1.3.6.1.4.1.14519.5.2.1.19140731108220017646017623;/home/mdsubhan01/ispy2/ispy2/ISPY2-100899/1.3.6.1.;/home/mdsubhan01/ispy2/ispy2/ISPY2-100899/1.3.6.1.;ISPY2: Ph3/AX VIBRANT-SERIES;,6
